model,prompt_variant,id,family,plan_valid,plan_match,repaired,n_steps,oracle_n_steps,intents_predicted,intents_oracle,latency_ms
mamay4,current_v2,comp-ke-011,knowledge_explain,True,False,False,3,2,knowledge>translate>instruct,knowledge>instruct,8230.2
mamay4,current_v2,comp-ke-012,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,6002.0
mamay4,current_v2,comp-tkw-001,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,8793.3
mamay4,current_v2,comp-tkw-002,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,9732.1
mamay4,current_v2,comp-tkw-003,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,9640.2
mamay4,current_v2,comp-tkw-004,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,9697.4
mamay4,current_v2,comp-tkw-005,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,9874.0
mamay4,current_v2,comp-tkw-006,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,10071.3
mamay4,current_v2,comp-tkw-007,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,9676.3
mamay4,current_v2,comp-tkw-008,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,10939.3
mamay4,current_v2,comp-tkw-009,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,9736.5
mamay4,current_v2,comp-tkw-010,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,9780.4
mamay4,current_v2,comp-tkw-011,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,9741.6
mamay4,current_v2,comp-tkw-012,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,9878.6
mamay4,minimal_v3,comp-tc-001,translate_code,False,False,True,1,2,translate,translate>code,22787.0
mamay4,minimal_v3,comp-tc-002,translate_code,False,False,True,1,2,translate,translate>code,22802.5
mamay4,minimal_v3,comp-tc-003,translate_code,False,False,True,1,2,translate,translate>code,22834.0
mamay4,minimal_v3,comp-tc-004,translate_code,False,False,True,1,2,translate,translate>code,13822.6
mamay4,minimal_v3,comp-tc-005,translate_code,False,False,True,1,2,translate,translate>code,22804.8
mamay4,minimal_v3,comp-tc-006,translate_code,False,False,True,1,2,translate,translate>code,22800.0
mamay4,minimal_v3,comp-tc-007,translate_code,False,False,True,1,2,translate,translate>code,22803.1
mamay4,minimal_v3,comp-tc-008,translate_code,True,False,False,3,2,translate>knowledge>code,translate>code,10682.7
mamay4,minimal_v3,comp-tc-009,translate_code,True,False,False,3,2,translate>knowledge>code,translate>code,11265.3
mamay4,minimal_v3,comp-tc-010,translate_code,False,False,True,1,2,translate,translate>code,22757.5
mamay4,minimal_v3,comp-tc-011,translate_code,False,False,True,1,2,translate,translate>code,22794.4
mamay4,minimal_v3,comp-tc-012,translate_code,False,False,True,1,2,translate,translate>code,22752.8
mamay4,minimal_v3,comp-ke-001,knowledge_explain,True,False,False,4,2,knowledge>translate>chat>alignment,knowledge>instruct,11046.9
mamay4,minimal_v3,comp-ke-002,knowledge_explain,False,False,True,1,2,instruct,knowledge>instruct,22821.3
mamay4,minimal_v3,comp-ke-003,knowledge_explain,False,False,True,1,2,instruct,knowledge>instruct,22810.0
mamay4,minimal_v3,comp-ke-004,knowledge_explain,False,False,True,1,2,instruct,knowledge>instruct,21476.3
mamay4,minimal_v3,comp-ke-005,knowledge_explain,False,False,True,1,2,instruct,knowledge>instruct,22828.6
mamay4,minimal_v3,comp-ke-006,knowledge_explain,True,False,False,4,2,knowledge>translate>chat>alignment,knowledge>instruct,11215.0
mamay4,minimal_v3,comp-ke-007,knowledge_explain,True,False,False,3,2,knowledge>translate>chat,knowledge>instruct,7901.5
mamay4,minimal_v3,comp-ke-008,knowledge_explain,False,False,True,1,2,instruct,knowledge>instruct,22021.3
mamay4,minimal_v3,comp-ke-009,knowledge_explain,False,False,True,1,2,instruct,knowledge>instruct,22369.2
mamay4,minimal_v3,comp-ke-010,knowledge_explain,False,False,True,1,2,instruct,knowledge>instruct,22804.2
mamay4,minimal_v3,comp-ke-011,knowledge_explain,False,False,True,1,2,instruct,knowledge>instruct,22709.2
mamay4,minimal_v3,comp-ke-012,knowledge_explain,True,False,False,3,2,knowledge>translate>chat,knowledge>instruct,7877.5
mamay4,minimal_v3,comp-tkw-001,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,9808.4
mamay4,minimal_v3,comp-tkw-002,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,9713.8
mamay4,minimal_v3,comp-tkw-003,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,9615.1
mamay4,minimal_v3,comp-tkw-004,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,9838.8
mamay4,minimal_v3,comp-tkw-005,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,10022.0
mamay4,minimal_v3,comp-tkw-006,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,10027.2
mamay4,minimal_v3,comp-tkw-007,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,9827.2
mamay4,minimal_v3,comp-tkw-008,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,9895.6
mamay4,minimal_v3,comp-tkw-009,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,9905.6
mamay4,minimal_v3,comp-tkw-010,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,9946.3
mamay4,minimal_v3,comp-tkw-011,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,9890.5
mamay4,minimal_v3,comp-tkw-012,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,9936.0
