id,family,raw_json_valid,strict_plan_valid,raw_n_steps,raw_intents,finish_reason,completion_tokens,validator_error
eval_SE_add_3,science_experiments,True,False,4,knowledge>knowledge>knowledge>translate,stop,276,step2: dependencies must refer to earlier steps
eval_SE_sub_2,science_experiments,True,False,10,knowledge>knowledge>knowledge>knowledge>knowledge>knowledge>knowledge>knowledge>knowledge>code,stop,689,plan must contain 1-4 steps
eval_SE_sub_3,science_experiments,True,False,4,knowledge>translate>knowledge>code,stop,379,step2: dependencies must refer to earlier steps
eval_SE_mul_1,science_experiments,True,False,4,knowledge>knowledge>knowledge>knowledge,stop,367,step2: dependencies must refer to earlier steps
eval_SE_div_1,science_experiments,True,False,4,knowledge>translate>knowledge>code,stop,333,step2: dependencies must refer to earlier steps
eval_SA_add_1,smart_assistant,True,False,6,knowledge>knowledge>knowledge>knowledge>translate>instruct,stop,497,plan must contain 1-4 steps
eval_SA_add_3,smart_assistant,True,False,4,knowledge>knowledge>knowledge>knowledge,stop,325,step2: dependencies must refer to earlier steps
eval_SA_sub_1,smart_assistant,True,False,6,knowledge>translate>knowledge>code>alignment>chat,stop,546,plan must contain 1-4 steps
eval_SA_sub_2,smart_assistant,True,False,4,knowledge>translate>knowledge>code,stop,334,step2: dependencies must refer to earlier steps
eval_SA_mul_1,smart_assistant,True,False,4,knowledge>knowledge>translate>chat,stop,277,step2: dependencies must refer to earlier steps
eval_SA_mul_2,smart_assistant,True,False,3,knowledge>translate>code,stop,280,step2: dependencies must refer to earlier steps
eval_SA_div_1,smart_assistant,True,False,5,knowledge>knowledge>knowledge>code>alignment,stop,494,plan must contain 1-4 steps
eval_TA_add_1,travel_agent,True,False,5,knowledge>knowledge>knowledge>translate>translate,stop,414,plan must contain 1-4 steps
eval_TA_add_3,travel_agent,True,True,4,knowledge>translate>knowledge>code,stop,315,
eval_TA_sub_1,travel_agent,True,False,10,knowledge>knowledge>translate>knowledge>alignment>translate>knowledge>knowledge>code>chat,stop,713,plan must contain 1-4 steps
eval_TA_sub_3,travel_agent,True,False,8,knowledge>knowledge>knowledge>knowledge>knowledge>knowledge>knowledge>translate,stop,917,plan must contain 1-4 steps
eval_TA_mul_1,travel_agent,True,False,7,knowledge>knowledge>knowledge>knowledge>knowledge>code>alignment,stop,467,plan must contain 1-4 steps
eval_TA_mul_2,travel_agent,True,False,6,knowledge>knowledge>translate>knowledge>code>alignment,stop,430,plan must contain 1-4 steps
eval_TA_div_1,travel_agent,True,False,6,knowledge>knowledge>knowledge>knowledge>knowledge>translate,stop,570,plan must contain 1-4 steps
