model,prompt_variant,id,family,plan_valid,plan_match,repaired,n_steps,oracle_n_steps,intents_predicted,intents_oracle,latency_ms
mamay12,minimal_v3,comp-ke-004,knowledge_explain,True,False,False,2,2,knowledge>alignment,knowledge>instruct,10288.4
mamay12,minimal_v3,comp-ke-005,knowledge_explain,True,False,False,2,2,knowledge>alignment,knowledge>instruct,10793.9
mamay12,minimal_v3,comp-ke-006,knowledge_explain,True,False,False,2,2,knowledge>alignment,knowledge>instruct,10602.8
mamay12,minimal_v3,comp-ke-007,knowledge_explain,True,False,False,2,2,knowledge>alignment,knowledge>instruct,11103.6
mamay12,minimal_v3,comp-ke-008,knowledge_explain,True,False,False,2,2,knowledge>alignment,knowledge>instruct,10304.2
mamay12,minimal_v3,comp-ke-009,knowledge_explain,True,False,False,2,2,knowledge>alignment,knowledge>instruct,9493.4
mamay12,minimal_v3,comp-ke-010,knowledge_explain,True,False,False,2,2,knowledge>alignment,knowledge>instruct,11355.2
mamay12,minimal_v3,comp-ke-011,knowledge_explain,True,False,False,2,2,knowledge>alignment,knowledge>instruct,11172.0
mamay12,minimal_v3,comp-ke-012,knowledge_explain,True,False,False,2,2,knowledge>alignment,knowledge>instruct,10977.2
mamay12,minimal_v3,comp-tkw-001,translate_knowledge_write,True,False,False,3,3,translate>knowledge>code,translate>knowledge>instruct,14279.4
mamay12,minimal_v3,comp-tkw-002,translate_knowledge_write,True,False,False,3,3,translate>knowledge>code,translate>knowledge>instruct,14270.0
mamay12,minimal_v3,comp-tkw-003,translate_knowledge_write,True,False,False,3,3,translate>knowledge>code,translate>knowledge>instruct,14205.6
mamay12,minimal_v3,comp-tkw-004,translate_knowledge_write,True,False,False,3,3,translate>knowledge>code,translate>knowledge>instruct,14255.1
mamay12,minimal_v3,comp-tkw-005,translate_knowledge_write,False,False,True,1,3,translate,translate>knowledge>instruct,31767.1
mamay12,minimal_v3,comp-tkw-006,translate_knowledge_write,True,False,False,3,3,translate>knowledge>code,translate>knowledge>instruct,14448.9
mamay12,minimal_v3,comp-tkw-007,translate_knowledge_write,True,False,False,3,3,translate>knowledge>code,translate>knowledge>instruct,14201.8
mamay12,minimal_v3,comp-tkw-008,translate_knowledge_write,True,False,False,3,3,translate>knowledge>code,translate>knowledge>instruct,14280.9
mamay12,minimal_v3,comp-tkw-009,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,14696.0
mamay12,minimal_v3,comp-tkw-010,translate_knowledge_write,True,False,False,3,3,translate>knowledge>code,translate>knowledge>instruct,14335.6
mamay12,minimal_v3,comp-tkw-011,translate_knowledge_write,True,False,False,3,3,translate>knowledge>alignment,translate>knowledge>instruct,14009.7
mamay12,minimal_v3,comp-tkw-012,translate_knowledge_write,True,False,False,3,3,translate>knowledge>code,translate>knowledge>instruct,14498.4
